problem_name,problem_link,num_occur
Squares of a Sorted Array,https://leetcode.com/problems/squares-of-a-sorted-array/,8
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/,8
Validate Stack Sequences,https://leetcode.com/problems/validate-stack-sequences/,8
DI String Match,https://leetcode.com/problems/di-string-match/,8
Knight Dialer,https://leetcode.com/problems/knight-dialer/,8
Sort Array By Parity II,https://leetcode.com/problems/sort-array-by-parity-ii/,8
Minimum Add to Make Parentheses Valid,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/,8
Maximum Frequency Stack,https://leetcode.com/problems/maximum-frequency-stack/,7
Boats to Save People,https://leetcode.com/problems/boats-to-save-people/,7
Middle of the Linked List,https://leetcode.com/problems/middle-of-the-linked-list/,7
Transpose Matrix,https://leetcode.com/problems/transpose-matrix/,7
Maximize Distance to Closest Person,https://leetcode.com/problems/maximize-distance-to-closest-person/,7
Rotate String,https://leetcode.com/problems/rotate-string/,7
Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/,7
Minimum Distance Between BST Nodes,https://leetcode.com/problems/minimum-distance-between-bst-nodes/,7
Daily Temperatures,https://leetcode.com/problems/daily-temperatures/,7
Monotone Increasing Digits,https://leetcode.com/problems/monotone-increasing-digits/,7
Asteroid Collision,https://leetcode.com/problems/asteroid-collision/,7
Find Pivot Index,https://leetcode.com/problems/find-pivot-index/,7
Max Stack,https://leetcode.com/problems/max-stack/,7
Design HashMap,https://leetcode.com/problems/design-hashmap/,7
Design HashSet,https://leetcode.com/problems/design-hashset/,7
Binary Search,https://leetcode.com/problems/binary-search/,6
Max Area of Island,https://leetcode.com/problems/max-area-of-island/,6
Number of Distinct Islands,https://leetcode.com/problems/number-of-distinct-islands/,6
Top K Frequent Words,https://leetcode.com/problems/top-k-frequent-words/,6
Longest Univalue Path,https://leetcode.com/problems/longest-univalue-path/,6
Redundant Connection,https://leetcode.com/problems/redundant-connection/,6
Valid Palindrome II,https://leetcode.com/problems/valid-palindrome-ii/,6
Bulb Switcher II,https://leetcode.com/problems/bulb-switcher-ii/,6
Trim a Binary Search Tree,https://leetcode.com/problems/trim-a-binary-search-tree/,6
Maximum Width of Binary Tree,https://leetcode.com/problems/maximum-width-of-binary-tree/,6
Image Smoother,https://leetcode.com/problems/image-smoother/,6
4 Keys Keyboard,https://leetcode.com/problems/4-keys-keyboard/,6
2 Keys Keyboard,https://leetcode.com/problems/2-keys-keyboard/,6
Design Search Autocomplete System,https://leetcode.com/problems/design-search-autocomplete-system/,6
Decode Ways II,https://leetcode.com/problems/decode-ways-ii/,6
Average of Levels in Binary Tree,https://leetcode.com/problems/average-of-levels-in-binary-tree/,6
Exclusive Time of Functions,https://leetcode.com/problems/exclusive-time-of-functions/,6
Design Circular Queue,https://leetcode.com/problems/design-circular-queue/,6
Task Scheduler,https://leetcode.com/problems/task-scheduler/,6
Valid Square,https://leetcode.com/problems/valid-square/,6
Design In-Memory File System,https://leetcode.com/problems/design-in-memory-file-system/,6
Kill Process,https://leetcode.com/problems/kill-process/,6
Shortest Unsorted Continuous Subarray,https://leetcode.com/problems/shortest-unsorted-continuous-subarray/,6
Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/,5
Maximum Vacation Days,https://leetcode.com/problems/maximum-vacation-days/,5
Permutation in String,https://leetcode.com/problems/permutation-in-string/,5
Subarray Sum Equals K,https://leetcode.com/problems/subarray-sum-equals-k/,5
Maximum Depth of N-ary Tree,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/,5
Reverse Words in a String III,https://leetcode.com/problems/reverse-words-in-a-string-iii/,5
Boundary of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree/,5
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/,5
Single Element in a Sorted Array,https://leetcode.com/problems/single-element-in-a-sorted-array/,5
Encode and Decode TinyURL,https://leetcode.com/problems/encode-and-decode-tinyurl/,5
Lonely Pixel I,https://leetcode.com/problems/lonely-pixel-i/,5
Minesweeper,https://leetcode.com/problems/minesweeper/,5
Random Pick with Weight,https://leetcode.com/problems/random-pick-with-weight/,5
Contiguous Array,https://leetcode.com/problems/contiguous-array/,5
Super Washing Machines,https://leetcode.com/problems/super-washing-machines/,5
Longest Palindromic Subsequence,https://leetcode.com/problems/longest-palindromic-subsequence/,5
Fibonacci Number,https://leetcode.com/problems/fibonacci-number/,5
The Maze II,https://leetcode.com/problems/the-maze-ii/,5
Diagonal Traverse,https://leetcode.com/problems/diagonal-traverse/,5
The Maze,https://leetcode.com/problems/the-maze/,5
Max Consecutive Ones II,https://leetcode.com/problems/max-consecutive-ones-ii/,5
Smallest Good Base,https://leetcode.com/problems/smallest-good-base/,5
Sliding Window Median,https://leetcode.com/problems/sliding-window-median/,5
Heaters,https://leetcode.com/problems/heaters/,5
Matchsticks to Square,https://leetcode.com/problems/matchsticks-to-square/,5
Concatenated Words,https://leetcode.com/problems/concatenated-words/,5
Validate IP Address,https://leetcode.com/problems/validate-ip-address/,5
Minimum Moves to Equal Array Elements II,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii/,5
LFU Cache,https://leetcode.com/problems/lfu-cache/,5
Sort Characters By Frequency,https://leetcode.com/problems/sort-characters-by-frequency/,5
Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/,5
Serialize and Deserialize BST,https://leetcode.com/problems/serialize-and-deserialize-bst/,4
Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/,4
Add Two Numbers II,https://leetcode.com/problems/add-two-numbers-ii/,4
String Compression,https://leetcode.com/problems/string-compression/,4
Find All Duplicates in an Array,https://leetcode.com/problems/find-all-duplicates-in-an-array/,4
Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/,4
Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/,4
N-ary Tree Level Order Traversal,https://leetcode.com/problems/n-ary-tree-level-order-traversal/,4
Battleships in a Board,https://leetcode.com/problems/battleships-in-a-board/,4
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/,4
Add Strings,https://leetcode.com/problems/add-strings/,4
Fizz Buzz,https://leetcode.com/problems/fizz-buzz/,4
Frog Jump,https://leetcode.com/problems/frog-jump/,4
Remove K Digits,https://leetcode.com/problems/remove-k-digits/,4
Longest Substring with At Least K Repeating Characters,https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters/,4
Decode String,https://leetcode.com/problems/decode-string/,4
First Unique Character in a String,https://leetcode.com/problems/first-unique-character-in-a-string/,4
Linked List Random Node,https://leetcode.com/problems/linked-list-random-node/,4
Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/,4
Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,4
Combination Sum IV,https://leetcode.com/problems/combination-sum-iv/,4
Find Leaves of Binary Tree,https://leetcode.com/problems/find-leaves-of-binary-tree/,4
Design Hit Counter,https://leetcode.com/problems/design-hit-counter/,4
Logger Rate Limiter,https://leetcode.com/problems/logger-rate-limiter/,4
Rearrange String k Distance Apart,https://leetcode.com/problems/rearrange-string-k-distance-apart/,4
Design Snake Game,https://leetcode.com/problems/design-snake-game/,4
Data Stream as Disjoint Intervals,https://leetcode.com/problems/data-stream-as-disjoint-intervals/,4
Android Unlock Patterns,https://leetcode.com/problems/android-unlock-patterns/,4
Intersection of Two Arrays,https://leetcode.com/problems/intersection-of-two-arrays/,4
Design Tic-Tac-Toe,https://leetcode.com/problems/design-tic-tac-toe/,4
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,4
Reverse String,https://leetcode.com/problems/reverse-string/,4
Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/,4
Number of Connected Components in an Undirected Graph,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/,4
Coin Change,https://leetcode.com/problems/coin-change/,4
Bulb Switcher,https://leetcode.com/problems/bulb-switcher/,4
Shortest Distance from All Buildings,https://leetcode.com/problems/shortest-distance-from-all-buildings/,4
Count of Smaller Numbers After Self,https://leetcode.com/problems/count-of-smaller-numbers-after-self/,4
Binary Tree Vertical Order Traversal,https://leetcode.com/problems/binary-tree-vertical-order-traversal/,3
Burst Balloons,https://leetcode.com/problems/burst-balloons/,3
Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/,3
Nim Game,https://leetcode.com/problems/nim-game/,3
Game of Life,https://leetcode.com/problems/game-of-life/,3
Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/,3
Walls and Gates,https://leetcode.com/problems/walls-and-gates/,3
Inorder Successor In BST,https://leetcode.com/problems/inorder-successor-in-bst/,3
Peeking Iterator,https://leetcode.com/problems/peeking-iterator/,3
Move Zeroes,https://leetcode.com/problems/move-zeroes/,3
Perfect Squares,https://leetcode.com/problems/perfect-squares/,3
First Bad Version,https://leetcode.com/problems/first-bad-version/,3
Find the Celebrity,https://leetcode.com/problems/find-the-celebrity/,3
Integer to English Words,https://leetcode.com/problems/integer-to-english-words/,3
Alien Dictionary,https://leetcode.com/problems/alien-dictionary/,3
Missing Number,https://leetcode.com/problems/missing-number/,3
Ugly Number II,https://leetcode.com/problems/ugly-number-ii/,3
Graph Valid Tree,https://leetcode.com/problems/graph-valid-tree/,3
Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/,3
Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/,3
Count Univalue Subtrees,https://leetcode.com/problems/count-univalue-subtrees/,3
Shortest Word Distance,https://leetcode.com/problems/shortest-word-distance/,3
Valid Anagram,https://leetcode.com/problems/valid-anagram/,3
Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/,3
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/,3
Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,3
Delete Node in a Linked List,https://leetcode.com/problems/delete-node-in-a-linked-list/,3
Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/,3
Lowest Common Ancestor of a Binary Search Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/,3
Palindrome Linked List,https://leetcode.com/problems/palindrome-linked-list/,3
Number of Digit One,https://leetcode.com/problems/number-of-digit-one/,3
Implement Queue using Stacks,https://leetcode.com/problems/implement-queue-using-stacks/,3
Kth Smallest Element in a BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,3
Majority Element II,https://leetcode.com/problems/majority-element-ii/,3
Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/,3
Basic Calculator,https://leetcode.com/problems/basic-calculator/,3
Maximal Square,https://leetcode.com/problems/maximal-square/,3
Contains Duplicate II,https://leetcode.com/problems/contains-duplicate-ii/,3
The Skyline Problem,https://leetcode.com/problems/the-skyline-problem/,3
Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,3
Kth Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/,3
Shortest Palindrome,https://leetcode.com/problems/shortest-palindrome/,3
Word Search II,https://leetcode.com/problems/word-search-ii/,3
Add and Search Word - Data structure design,https://leetcode.com/problems/add-and-search-word-data-structure-design/,3
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/,3
Minimum Size Subarray Sum,https://leetcode.com/problems/minimum-size-subarray-sum/,3
